epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6435,2.38376,4.01989,0.01922,0.59734,0.11364,0.062,0.02787,1.96971,4.51726,0.01205,0.00021671,0.00021671,0.00021671
2,89.6283,1.98702,3.11081,0.0156,0.31766,0.13183,0.09805,0.03471,1.89929,3.84093,0.01199,0.000448605,0.000448605,0.000448605
3,125.488,1.92711,2.7747,0.01476,0.12259,0.23589,0.07442,0.02839,2.0828,4.66358,0.01412,0.000678959,0.000678959,0.000678959
4,161.752,1.95019,2.56459,0.01463,0.14532,0.29715,0.11664,0.03871,2.09188,3.83198,0.01414,0.000907773,0.000907773,0.000907773
5,198.592,1.9059,2.4247,0.0149,0.22926,0.37647,0.19602,0.06161,2.129,3.12743,0.01406,0.00113505,0.00113505,0.00113505
6,235.494,1.95731,2.35445,0.01548,0.31939,0.33032,0.23974,0.08306,2.14502,2.54839,0.01412,0.00136078,0.00136078,0.00136078
7,272.736,1.92988,2.23513,0.01529,0.32937,0.26695,0.20213,0.05988,2.31806,2.76433,0.01572,0.00158497,0.00158497,0.00158497
8,323.649,1.93934,2.16369,0.0156,0.22599,0.27439,0.14433,0.03397,2.69316,2.69202,0.01975,0.00162849,0.00162849,0.00162849
9,365.77,1.9899,2.10577,0.01579,0.30588,0.36388,0.26981,0.07116,2.30964,2.54962,0.01547,0.00162299,0.00162299,0.00162299
10,407.787,1.99551,2.07383,0.01499,0.35903,0.30189,0.22392,0.06271,2.41946,2.41574,0.01715,0.00161749,0.00161749,0.00161749
11,456.131,1.97385,2.0822,0.01534,0.30454,0.41618,0.2943,0.10393,2.14512,2.25249,0.0149,0.00161199,0.00161199,0.00161199
12,500.152,1.93266,1.98093,0.01532,0.39369,0.35274,0.30196,0.10324,2.2463,2.08111,0.01591,0.00160649,0.00160649,0.00160649
13,543.82,1.92324,1.96486,0.01529,0.33553,0.35526,0.29,0.1032,2.11428,2.18989,0.01542,0.00160099,0.00160099,0.00160099
14,586.913,1.91171,2.0231,0.01525,0.30767,0.39743,0.28362,0.11293,2.0756,2.51789,0.01493,0.00159549,0.00159549,0.00159549
15,633.674,1.90744,1.97388,0.01584,0.34454,0.41079,0.32745,0.12924,2.02156,2.1333,0.01419,0.00158998,0.00158998,0.00158998
